Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,61.76333188,62.03779226,62.39922656,62.72910581,63.29604298,63.39618678,63.72838393,66.85101611,66.50196151,64.22978776,65.02429828,65.06059383,64.81092902,65.13114562,65.02570845,65.18126082,63.97953738,64.5770147,64.20447002,64.51687646,64.50737409,63.8834724,62.97449982,63.33493876,63.36526821,60.98967757,61.31236739,61.44670216,60.80262421,60.45546256,60.24003228,60.65943793,59.89052758,61.06803952,60.31891491,60.55868685,60.16856931,60.3830884,59.05692306,59.28810382,59.31817294,58.1856996,57.20942947,51.40465746,53.39937258,53.27857543,51.85367663,50.67336605,50.01848405,48.99209872,51.56281322,50.38543145,48.39371022,48.73839866,45.31442407,44.53992579,48.34061794,46.65809501,47.12377243,46.25247984,NA
Austria,43.08531265,42.78962676,42.29035385,42.1291808,41.98012603,41.27484246,40.8834222,40.70891905,40.6095492,40.4241396,40.24357731,40.07634513,39.04750364,38.86694135,38.65123606,38.57852642,38.5070286,38.54580708,38.08652448,38.06349976,38.23800291,38.08410082,36.66868638,36.75714978,36.80925836,36.67959283,36.69413476,36.94013572,36.96800776,36.64444983,36.8019874,36.51236064,36.3427048,36.28332525,36.12578769,36.03126515,35.92583616,35.86888027,35.81192438,35.63015027,35.33809985,35.16965584,34.96400873,34.74793989,34.61948619,34.45588948,34.29592826,34.04507998,33.87057683,33.6791081,33.41371789,33.14590402,32.91808047,32.89142026,32.94292293,32.35785264,32.16941348,32.14772176,32.12809016,32.07416384,NA
Azerbaijan,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.42898687,53.55396133,53.90725453,53.94450653,54.3903289,55.14137736,56.34838492,56.73659392,57.38635676,57.45000242,57.43179452,57.52552872,57.51524095,57.56835229,57.55291213,57.56453545,57.56834933,57.57909516,57.67034456,57.69193544,57.68709623,57.70454518,57.70054317,57.7017529,57.73557518,57.79560136,57.8253926,57.82781233,57.83824989,NA
"Bahamas, The",0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.498501499,1.498501499,1.398601399,1.398601399,1.398601399,1.398601399,1.398601399,1.398601399,1.398601399,1.398601399,1.398601399,1.398601399,NA
Bahrain,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,11.5942029,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,13.04347826,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,12.67605634,12.67605634,12.67605634,12.67605634,12.67605634,12.67605634,12.67605634,14.08450704,12.95774648,12.95774648,12.95774648,12.36111111,11.91780822,11.75675676,11.55405405,11.2,10.78947368,11,11.28608924,11.2125163,11.16883117,11.16883117,11.15434501,11.05398458,11.03979461,11.02564103,11.02564103,10.98339719,10.95541401,NA
Bangladesh,72.82784052,72.80479373,72.82784052,73.13513098,74.0339556,74.133825,74.47952677,74.27978797,74.32588154,74.4948913,74.47952677,76.75347622,76.7381117,76.7381117,76.85334562,76.80725206,76.75347622,76.72274718,76.69201813,76.72274718,76.67665361,76.65360682,76.54605516,77.28355228,77.03003764,77.13758931,77.70607667,80.10294231,80.22585849,79.78796958,79.28094031,73.35791657,72.56664362,71.89060459,72.01352078,71.65245448,71.94438043,72.47445648,72.87393409,72.21325958,72.23630637,71.85219329,71.66013674,71.62172544,71.5295383,71.29138818,71.18383652,71.08396712,71.03019129,70.99177998,70.12368441,70.0852731,71.27602366,71.56026734,72.39947761,72.99846355,73.29899362,73.76738112,75.63186602,76.06207267,NA
Barbados,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,41.86046512,41.86046512,41.86046512,39.53488372,39.53488372,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,34.88372093,32.55813953,30.23255814,29.06976744,27.90697674,25.58139535,23.25581395,23.25581395,23.25581395,23.25581395,23.25581395,NA
Belarus,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.27749744,46.10334562,46.06709451,46.03486011,46.00845929,45.87513248,45.88594333,45.75640299,45.61050639,45.0000986,44.4956096,44.3039847,44.16340014,44.12003964,44.14895714,43.94261241,43.94732432,43.99747656,43.85368306,43.73860332,43.35161829,42.93177203,42.48791711,42.24201638,42.03548978,41.84483812,41.64449699,41.32239549,40.79712287,NA
Belgium,55.17976843,55.33211456,53.99146862,53.65630713,53.56489945,53.47349177,53.56489945,53.3820841,53.71724558,53.71724558,53.503961,53.26020719,53.71724558,54.87507617,54.57038391,54.26569165,53.86959171,54.11334552,51.46252285,44.82023157,44.48507008,46.64838513,46.55697745,46.43510055,46.19134674,46.00853138,45.73430835,45.58196222,44.66788544,43.96709324,43.35770871,44.82023157,45.18586228,45.46008531,45.55149299,45.73430835,46.00853138,46.25228519,46.34369287,45.89167768,45.7992074,45.87516513,45.97754293,45.94782034,45.67371202,45.57463672,45.14200793,45.08916777,45.0330251,44.77212682,44.11162483,43.98943197,44.13804491,43.9663144,43.85733157,44.61030383,43.82430647,44.71598415,44.79599075,45.06635733,NA
Belize,3.463393249,3.463393249,3.507233669,3.507233669,3.507233669,3.55107409,3.55107409,3.55107409,3.594914511,3.594914511,3.638754932,3.638754932,3.682595353,3.682595353,3.726435774,3.726435774,3.770276195,4.077159141,4.120999562,4.208680403,4.252520824,4.252520824,4.252520824,4.252520824,4.427882508,4.515563349,4.910127137,5.0416484,5.260850504,5.523893029,5.699254713,5.962297238,6.269180184,6.269180184,6.400701447,6.444541868,6.488382288,6.488382288,6.57606313,6.532222709,6.532222709,6.663743972,6.663743972,6.663743972,6.663743972,6.663743972,6.663743972,6.663743972,6.795265235,6.882946076,6.882946076,7.014467339,7.014467339,7.014467339,7.452871548,7.452871548,7.540552389,7.540552389,7.540552389,7.540552389,NA
